1:
 num     #instances         #bytes  class name (module)
 301:           274           6576  java.security.Provider$UString (java.base@25.0.4)
 302:           270           6480  javax.management.ImmutableDescriptor (java.management@25.0.4)
 303:           268           6432  org.springframework.beans.BeanMetadataAttribute
 304:           199           6368  jdk.jfr.internal.EventControl (jdk.jfr@25.0.4)
 305:           194           6208  jdk.jfr.internal.SettingsManager$InternalSetting (jdk.jfr@25.0.4)
 306:           108           6048  org.springframework.core.type.classreading.ClassFileAnnotationMetadata
 307:           189           6048  sun.reflect.generics.repository.ClassRepository (java.base@25.0.4)
 308:           125           6000  org.springframework.core.annotation.TypeMappedAnnotations
 309:           107           5992  org.springframework.context.annotation.ConfigurationClass
 310:           186           5952  org.springframework.boot.context.properties.bind.JavaBeanBinder$BeanProperty
 311:           247           5928  org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator$ComposedCacheKey
 312:           121           5808  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@25.0.4)
 313:           228           5472  org.springframework.context.annotation.BeanMethod
 314:           339           5424  java.lang.Character$UnicodeBlock (java.base@25.0.4)
 315:           226           5424  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@25.0.4)
 316:           167           5344  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@25.0.4)
 317:            94           5264  java.util.logging.Logger (java.logging@25.0.4)
 318:           219           5256  java.lang.reflect.AccessFlag$AccessFlagSet (java.base@25.0.4)
 319:           164           5248  java.util.concurrent.atomic.LongAdder (java.base@25.0.4)
 320:           290           5128  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@25.0.4)
 321:           124           4960  java.lang.invoke.DirectMethodHandle$Interface (java.base@25.0.4)
 322:           155           4960  java.util.logging.LogManager$LogNode (java.logging@25.0.4)
 323:           309           4944  org.springframework.boot.autoconfigure.condition.ConditionMessage
 324:           204           4896  java.util.regex.Pattern$BmpCharProperty (java.base@25.0.4)
 325:           102           4896  jdk.jfr.internal.Type (jdk.jfr@25.0.4)
 326:            43           4816  org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry
 327:           199           4776  java.util.Collections$SetFromMap (java.base@25.0.4)
 328:           199           4776  jdk.jfr.EventType (jdk.jfr@25.0.4)
 329:           199           4776  jdk.jfr.internal.settings.EnabledSetting (jdk.jfr@25.0.4)
 330:           190           4560  sun.reflect.generics.scope.ClassScope (java.base@25.0.4)
 331:           189           4536  sun.reflect.generics.tree.ClassSignature (java.base@25.0.4)
 332:           220           4464  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@25.0.4)
 333:           157           4360  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 334:           272           4352  java.util.HashMap$EntrySet (java.base@25.0.4)
 335:           136           4352  org.springframework.core.convert.TypeDescriptor
 336:           189           4344  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@25.0.4)
 337:           158           4208  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 338:            65           4160  java.util.zip.Inflater (java.base@25.0.4)
 339:           172           4128  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@25.0.4)
 340:             1           4112  [Ljava.lang.classfile.constantpool.PoolEntry; (java.base@25.0.4)
 341:           256           4096  java.lang.Byte (java.base@25.0.4)
 342:           256           4096  java.lang.Short (java.base@25.0.4)
 343:            72           4032  java.lang.Module (java.base@25.0.4)
 344:             1           4016  [Ljava.lang.classfile.instruction.LineNumber; (java.base@25.0.4)
 345:            49           3920  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 346:            98           3920  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@25.0.4)
 347:            81           3888  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25.0.4)
 348:           238           3808  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 349:            95           3800  java.util.logging.Logger$ConfigurationData (java.logging@25.0.4)
 350:            95           3800  sun.reflect.generics.repository.MethodRepository (java.base@25.0.4)
 351:           158           3792  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 352:            47           3760  org.springframework.boot.loader.zip.ZipContent
 353:            12           3744  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@25.0.4)
 354:           117           3744  org.springframework.core.type.StandardAnnotationMetadata
 355:            93           3720  io.micrometer.core.instrument.Meter$Id
 356:           139           3712  [Ljava.lang.reflect.Parameter; (java.base@25.0.4)
 357:           113           3616  org.springframework.core.io.ClassPathResource
 358:           178           3528  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@25.0.4)
 359:           110           3520  sun.reflect.annotation.AnnotationType (java.base@25.0.4)
 360:            39           3432  java.util.regex.Pattern (java.base@25.0.4)
 361:           139           3336  java.lang.reflect.Executable$ParameterData (java.base@25.0.4)
 362:           137           3288  tools.jackson.databind.type.ClassKey
